"SAMPLE_CODE","TRACK_TIME_SEC","SR_87_86","Region_ID"
1,1,18.6372961465869,5
1,2,18.3284154922992,5
1,3,19.4575214563535,5
1,4,19.204744365514,5
1,5,20.1602767371178,5
1,6,18.7761088921213,5
1,7,19.5278354599841,5
1,8,18.5301879793604,5
1,9,19.1995198514584,5
1,10,19.4750131589763,5
1,11,18.598331238268,5
1,12,19.023581359992,5
1,13,18.6964319339017,5
1,14,19.4491434676371,5
1,15,19.4180353032069,5
1,16,18.9343116508981,5
1,17,19.2121638737193,5
1,18,18.3634581737483,5
1,19,18.1801487181805,5
1,20,19.0733727073992,5
1,21,20.0598527046222,5
1,22,19.3529534186248,5
1,23,20.2830558388612,5
1,24,18.7451513658944,5
1,25,18.7743561791512,5
1,26,18.9876628202801,5
1,27,18.6752480184651,5
1,28,18.9799848468206,5
1,29,18.8497499731983,5
1,30,18.2073499542524,5
1,31,19.2697637889267,5
1,32,20.1375162144543,5
1,33,18.6349954425325,5
1,34,18.0742275856793,5
1,35,19.0122165998294,5
1,36,18.5142160451935,5
1,37,18.3099081678027,5
1,38,19.6597616872954,5
1,39,19.1985926131897,5
1,40,19.0479922223248,5
1,41,20.0036080794116,5
1,42,19.155438501803,5
1,43,20.0080283501849,5
1,44,19.2086789449119,5
1,45,18.137874642075,5
1,46,18.9520884838541,5
1,47,18.5978224800037,5
1,48,18.4102763483638,5
1,49,18.9757883306501,5
1,50,18.7081159238312,5
1,51,19.3017421093008,5
1,52,19.2996841322238,5
1,53,19.0028477178195,5
1,54,19.3230149237119,5
1,55,19.2503030654902,5
1,56,19.6314665963242,5
1,57,18.9064516816275,5
1,58,19.3698907746726,5
1,59,19.2984204163898,5
1,60,19.0459974781853,5
1,61,18.0487140731139,5
1,62,18.9537400040157,5
1,63,19.3946442828352,5
1,64,20.0395075483706,5
1,65,19.5409956441859,5
1,66,19.2169024558471,5
1,67,19.0154490875517,5
1,68,18.6525393397848,5
1,69,19.391177127505,5
1,70,19.3776784930637,5
1,71,17.8485493020633,5
1,72,19.1189328638817,5
1,73,18.8489137064543,5
1,74,18.7376145170144,5
1,75,19.432963964001,5
1,76,18.9169657625088,5
1,77,17.4313618826968,4
1,78,17.9366577288021,4
1,79,17.5727228008482,4
1,80,16.9328760727515,4
1,81,17.3063187135271,4
1,82,17.2166928532419,4
1,83,16.2488664178105,4
1,84,16.4945329724116,4
1,85,16.8050424775825,4
1,86,17.5254245503414,4
1,87,17.199473733142,4
1,88,17.2130012035826,4
1,89,17.1783630172984,4
1,90,16.9387117154949,4
1,91,16.9957986115425,4
1,92,17.0310620128436,4
1,93,16.5275808273816,4
1,94,16.4434952599273,4
1,95,15.8821611011207,4
1,96,16.7419906548448,4
1,97,17.1226990849117,4
1,98,16.3171224676035,4
1,99,17.3378173476097,4
1,100,16.9955569630401,4
2,1,13.350498945634,6
2,2,14.8096855040633,3
2,3,15.2418919219158,3
2,4,15.1170880968165,3
2,5,16.4655355466197,4
2,6,17.6933894919505,4
2,7,16.4806201560825,4
2,8,16.4654538836977,4
2,9,17.6269349452787,4
2,10,17.5237954325355,4
2,11,17.2616482497595,4
2,12,17.0169607655756,4
2,13,17.4279119682541,4
2,14,16.7553427596659,4
2,15,17.0376807666148,4
2,16,17.2118048523163,4
2,17,15.1014688720112,3
2,18,12.7798329964869,6
2,19,12.9337194428313,6
2,20,11.8710125447665,6
2,21,12.2502571941357,6
2,22,12.9688192431194,6
2,23,14.871247884257,3
2,24,15.5699194319153,3
2,25,15.2675247628739,3
2,26,14.5571241167435,3
2,27,14.5638907065995,3
2,28,14.8201205239635,3
2,29,14.640680014897,3
2,30,14.4530035697672,3
2,31,15.6167993113776,3
2,32,14.3898562736278,3
2,33,15.6567226896718,3
2,34,14.9718112533849,3
2,35,14.54363854866,3
2,36,14.168793938307,3
2,37,14.8541064132935,3
2,38,14.6311016657467,3
2,39,15.043251876282,3
2,40,15.0279156558402,3
2,41,14.8501674044468,3
2,42,14.6963235443499,3
2,43,15.4003639026712,3
2,44,14.8641610535535,3
2,45,14.9195714626005,3
2,46,14.9083232877523,3
2,47,14.4301239308746,3
2,48,15.461844977349,3
2,49,15.1926075407592,3
2,50,13.6876488486573,6
2,51,12.5935068672223,6
2,52,12.8307699031106,6
2,53,12.3849547389738,6
2,54,13.1612351026287,6
2,55,12.6374538005263,6
2,56,13.0544029301939,6
2,57,13.2150233712191,6
2,58,13.4320939963202,6
2,59,14.1225875588509,6
2,60,12.6737765466886,6
2,61,13.3123667697179,6
2,62,12.9422507699646,6
2,63,12.824933300198,6
2,64,12.5380725072877,6
2,65,13.1285528302976,6
2,66,12.1973265188966,6
2,67,13.0964407557419,6
2,68,13.3612318534947,3
2,69,14.4475672517546,3
2,70,15.0034302230579,3
2,71,15.0090939069115,3
2,72,15.4766741509251,3
2,73,14.7011301560799,3
2,74,14.6718606701356,3
2,75,13.2085681997339,6
2,76,13.2077074350418,6
2,77,13.4589436814148,6
2,78,12.8283256930241,6
